,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.8008598921722514,0.8033849723606088,0.8029754998976318,0.8028390090766396
1,0.8029754998976318,0.8032484815396165,0.8050228622125162,0.8032484815396165
2,0.7992902477308401,0.7992902477308401,0.7990855114993517,0.799699720193817
3,0.8008598921722514,0.8013376100457245,0.8007916467617553,0.8008598921722514
4,0.7993584931413362,0.8018153279191974,0.8019518187401897,0.8012693646352282
5,0.799699720193817,0.7995632293728246,0.8003139288882822,0.799699720193817
6,0.8007234013512591,0.8021565549716781,0.8007234013512591,0.8017470825087013
7,0.8012011192247321,0.8013376100457245,0.8021565549716781,0.8014058554562206
8,0.8019518187401897,0.8029072544871357,0.8027025182556473,0.8024977820241589
9,0.8029754998976318,0.8047498805705317,0.8026342728451512,0.8038626902340817
